playerID,yearID,salary,stint,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,W,L,G_right,GS,CG,SHO,SV,IPouts,H_right,ER,HR_right,BB_right,SO_right,BAOpp,ERA,IBB_right,WP,HBP_right,BK,BFP,GF,R_right,SH_right,SF_right,GIDP_right,GS_right,InnOuts,PO,A,E,DP,PB,WP_right,SB_right,CS_right,ZR,Training-Validation
pillbr01,2012,480000,1,48,0,105,10,22,3,0,4,11,1,0,6,19,1,2,1,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
hamptmi01,2009,2000000,1,21,0,37,6,12,1,0,1,7,0,0,2,8,0,0,1,1,0,0,7,10,21,21,0,0,0,336,128,66,13,46,74,0.298,5.3,6,1,2,0,494,0,71,11,5,13,21,336,9,17,2,1,0,0,0,0,0,Training
mathisc01,2007,380000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
hansoto01,2013,3725000,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,15,13,0,0,0,219,83,44,10,30,56,0.286,5.42,3,6,3,0,327,1,47,0,4,3,13,219,7,7,1,0,0,0,0,0,0,Training
wrighja01,2006,800000,1,35,0,47,4,12,2,0,0,1,0,0,0,11,0,0,5,0,1,0,6,10,34,21,0,0,0,468,167,90,16,64,79,0.282,5.19,4,6,10,0,676,2,95,5,4,24,,,,,,,,,,,,Training
molinbe01,2008,6250000,1,145,0,530,46,155,33,0,16,95,0,0,19,38,5,9,0,11,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
myerswi01,2014,504200,1,87,0,325,37,72,14,0,6,35,6,1,34,90,3,0,0,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
igarary01,2010,1250000,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34,0,0,0,0,91,29,24,4,18,25,0.254,7.12,1,3,0,0,135,11,24,0,3,4,0,91,1,2,2,0,0,0,0,0,0,Training
pineijo01,2009,7500000,1,33,0,66,4,9,2,0,0,4,1,0,4,33,0,0,9,0,0,0,15,12,32,32,3,2,0,642,218,83,11,27,105,0.268,3.49,1,4,8,0,865,0,94,12,6,29,,,,,,,,,,,,Training
abreuto01,2014,745000,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
carroja01,2013,3750000,3,73,0,227,26,48,9,0,0,11,2,1,17,39,0,1,2,2,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0,0,0,0,3,1,0,0,0,0,,,,,,,,,,,,Training
jimerch01,2008,390000,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
larocad01,2006,420000,1,149,0,492,89,140,38,1,32,90,0,2,55,128,5,2,1,7,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
farnsky01,2006,5416666,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,72,0,0,0,6,198,62,32,8,28,75,0.243,4.36,3,5,1,1,289,24,34,3,2,1,0,198,3,7,0,0,0,0,0,0,0,Training
crainje01,2008,1050000,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,66,0,0,0,0,188,62,25,6,24,50,0.257,3.59,3,2,1,0,268,14,29,0,2,4,0,188,1,10,3,2,0,0,0,0,0,Training
donnebr01,2007,1400000,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,27,0,0,0,0,62,19,7,0,5,15,0.235,3.05,0,2,4,0,90,4,8,0,0,0,0,62,0,1,0,0,0,0,0,0,0,Training
sammocl01,2009,400000,1,6,0,11,1,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,90,23,2,0,0,0,0,0,3,0,Training
harriwi01,2009,1500000,1,137,0,323,47,76,18,6,7,27,11,4,57,62,1,9,3,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
quentca01,2012,7025000,1,86,0,284,44,74,21,0,16,46,0,1,36,41,2,17,0,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
betanyu01,2007,727500,1,155,0,536,72,155,38,2,9,67,5,4,15,48,3,1,3,4,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
escobke01,2007,9000000,1,30,0,6,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,18,7,30,30,3,1,0,587,182,74,11,66,160,0.248,3.4,2,9,3,0,812,0,79,5,4,28,30,587,13,18,2,4,0,0,0,0,0,Training
morribr01,2016,1350000,1,24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0,1,53,15,6,4,10,13,0.238,3.06,1,0,1,0,74,4,7,0,0,2,0,53,0,2,0,0,0,0,0,0,0,Validation
zagurmi01,2008,392500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
ruizca01,2010,1900000,1,121,0,371,43,112,28,1,8,53,0,1,55,54,13,6,0,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
teixema01,2013,23125000,1,15,0,53,5,8,1,0,3,12,0,0,8,19,2,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
bastaan01,2015,3100000,1,66,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,66,0,0,0,1,172,39,19,4,26,64,0.188,2.98,2,8,3,0,239,18,19,2,0,0,0,172,0,4,1,0,0,0,0,0,0,Training
loopebr01,2008,5500000,1,42,0,63,5,16,3,1,0,4,0,0,4,21,0,0,13,0,3,0,12,14,33,33,1,1,0,597,216,92,25,45,108,0.279,4.16,1,3,11,1,842,0,101,7,5,23,,,,,,,,,,,,Training
raburry01,2014,2250000,1,74,0,195,18,39,7,0,4,22,0,0,13,51,1,1,0,3,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
kurodhi01,2008,7433333,1,31,0,54,2,8,1,0,0,2,0,0,5,16,0,0,6,0,1,0,9,10,31,31,2,2,0,550,181,76,13,42,116,0.253,3.73,8,5,7,0,776,0,85,7,5,10,31,550,18,38,2,2,0,0,0,0,0,Training
beltrca01,2011,19325436,3,142,0,520,78,156,39,6,22,84,4,2,71,88,7,3,0,4,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
